FIPS,Population,< 18,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,Household Income,% Free Lunch
1001,55267,26.0,18.3,0.5,0.9,0.1,2.6,76,48863.0,36.0
1003,186717,22.8,9.6,0.7,0.8,0.1,4.5,83,50144.0,37.0
1005,27119,21.8,46.4,0.6,0.4,0.2,5.3,47,30117.0,66.0
1007,22766,22.1,22.2,0.3,0.1,0.1,2.0,75,37347.0,54.0
1009,57677,24.4,1.7,0.6,0.2,0.1,8.6,88,41940.0,44.0
1011,10542,21.9,68.3,0.9,0.2,0.8,7.7,23,26038.0,90.0
1013,20650,23.6,43.2,0.4,0.9,0.1,1.1,54,30489.0,68.0
1015,117797,22.8,20.6,0.5,0.8,0.1,3.4,73,39060.0,51.0
1017,33939,22.3,38.5,0.2,0.6,0.0,1.7,58,33500.0,65.0
1019,26057,21.1,4.9,0.6,0.2,0.0,1.4,92,34738.0,51.0
1021,43895,24.8,9.9,0.5,0.3,0.2,7.8,81,38833.0,52.0
1023,13609,22.1,43.2,0.1,0.2,0.0,0.6,55,32940.0,68.0
1025,25695,24.2,43.8,0.4,0.4,0.0,1.2,54,32642.0,60.0
1027,13862,22.3,15.0,0.4,0.2,0.0,2.9,80,32454.0,52.0
1029,14835,23.4,3.9,0.4,0.2,0.1,2.4,92,39153.0,49.0
1031,50526,24.1,17.0,1.5,1.3,0.5,6.4,72,42173.0,36.0
1033,54512,21.9,16.2,0.5,0.5,0.0,2.2,79,37269.0,44.0
1035,13105,22.4,46.2,0.4,0.2,0.0,1.5,51,26914.0,81.0
1037,10713,21.0,30.7,0.6,0.2,0.1,2.2,66,34391.0,65.0
1039,38058,22.4,12.8,0.6,0.5,0.0,1.4,84,32138.0,47.0
1041,13911,23.6,24.0,0.4,1.8,0.1,1.7,71,34534.0,50.0
1043,80536,22.9,1.3,0.6,0.5,0.0,4.5,92,39395.0,45.0
1045,50044,24.5,19.3,0.9,1.2,0.1,5.6,71,41568.0,52.0
1047,43332,26.3,69.0,0.2,0.4,0.0,0.8,29,25859.0,77.0
1049,71375,25.6,1.8,2.2,0.4,0.8,14.0,81,35487.0,59.0
1051,80162,23.0,20.9,0.4,0.7,0.1,2.8,74,54866.0,41.0
1053,38095,22.7,31.9,3.4,0.3,0.1,2.0,61,32838.0,62.0
1055,104303,22.9,15.3,0.6,0.7,0.3,3.5,79,34927.0,49.0
1057,17182,21.7,11.6,0.4,0.3,0.0,1.4,86,32648.0,48.0
1059,31884,24.6,4.1,1.5,0.3,0.1,15.1,79,33705.0,57.0
1061,26781,22.0,9.9,0.9,0.3,0.1,3.4,84,33835.0,54.0
1063,8921,24.0,80.1,0.2,0.2,0.0,0.9,18,24738.0,87.0
1065,15421,24.1,58.0,0.2,0.3,0.0,1.1,40,31044.0,68.0
1067,17412,22.6,28.1,0.4,0.4,0.0,2.5,68,39788.0,53.0
1069,102369,24.3,25.9,0.5,0.9,0.1,3.1,68,40428.0,54.0
1071,53291,22.1,3.5,1.5,0.4,0.1,2.6,90,36746.0,50.0
1073,658931,23.5,41.9,0.4,1.5,0.1,4.0,51,42053.0,43.0
1075,14311,22.1,11.5,0.2,0.1,0.0,1.3,86,34731.0,50.0
1077,92781,21.3,10.1,0.4,0.8,0.1,2.4,85,40195.0,42.0
1079,34117,22.8,11.6,5.7,0.2,0.0,1.9,77,38132.0,50.0
1081,143468,21.8,22.7,0.4,2.7,0.1,3.4,70,42539.0,40.0
1083,85369,23.6,13.0,0.9,1.2,0.2,5.7,78,46760.0,39.0
1085,11147,24.2,72.4,0.2,0.3,0.0,1.1,25,28043.0,91.0
1087,21182,19.5,80.8,0.2,0.4,0.0,1.8,16,27591.0,98.0
1089,340111,23.3,24.0,0.8,2.5,0.1,4.7,66,55298.0,32.0
1091,20692,24.0,51.4,0.2,0.3,0.2,1.7,46,31995.0,62.0
1093,30663,21.5,4.2,0.4,0.2,0.1,2.2,92,30926.0,48.0
1095,94166,25.0,1.9,1.2,0.6,0.2,12.5,83,38876.0,49.0
1097,412577,24.9,34.7,0.9,1.9,0.1,2.5,59,41867.0,63.0
1099,22760,24.9,41.4,1.1,0.4,0.0,1.1,55,31072.0,61.0
1101,232032,24.8,54.6,0.4,2.1,0.1,3.6,38,42962.0,65.0
1103,119953,23.8,12.1,1.1,0.6,0.1,7.8,77,43615.0,37.0
1105,10373,24.2,67.6,0.2,0.3,0.0,1.3,30,22175.0,97.0
1107,19349,23.0,41.2,0.2,0.2,0.4,1.7,56,31079.0,68.0
1109,32915,20.0,36.6,0.6,1.8,0.1,2.4,57,32345.0,62.0
1111,22787,23.5,20.3,0.4,0.3,0.0,2.9,75,34517.0,58.0
1113,54572,24.8,41.2,0.5,0.6,0.2,4.1,52,32632.0,62.0
1115,84398,23.6,8.9,0.4,0.7,0.1,2.2,87,48040.0,42.0
1117,197936,25.3,11.2,0.4,2.0,0.1,6.0,80,66362.0,23.0
1119,13478,21.3,73.2,0.1,0.3,0.0,0.9,25,23531.0,86.0
1121,81664,23.1,31.8,0.4,0.4,0.0,2.1,64,33856.0,63.0
1123,41623,22.0,26.5,0.4,0.5,0.0,2.7,69,37686.0,54.0
1125,197211,21.2,29.8,0.3,1.3,0.1,3.1,65,42086.0,48.0
1127,66661,22.3,6.1,0.4,0.3,0.1,2.1,90,35423.0,47.0
1129,17344,24.8,25.0,7.6,0.1,0.1,1.0,65,39203.0,52.0
1131,11482,26.3,71.7,0.1,0.1,0.0,0.7,27,20990.0,96.0
1133,24327,21.6,1.0,0.9,0.3,0.2,2.8,94,31018.0,46.0
2013,3172,11.5,7.1,25.2,37.8,0.6,12.8,14,51289.0,38.0
2016,5504,13.9,6.3,15.4,30.0,2.0,14.0,31,59362.0,13.0
2020,295570,25.7,5.3,8.2,8.4,2.1,7.9,62,71237.0,32.0
2050,17416,36.2,0.6,81.7,1.0,0.2,1.4,12,43314.0,67.0
2060,1030,22.9,0.2,32.6,0.9,0.3,2.8,48,61905.0,33.0
2068,1855,21.9,0.9,3.7,1.1,0.1,2.6,88,68899.0,0.0
2070,4975,32.7,0.4,70.7,0.7,0.1,2.3,18,46427.0,64.0
2090,99192,25.3,4.6,7.2,2.8,0.4,6.3,73,64396.0,16.0
2100,2554,19.9,0.6,9.4,0.8,0.0,2.3,82,51350.0,40.0
2110,32164,23.2,1.1,12.0,6.1,0.7,5.4,67,74219.0,22.0
2122,56293,23.4,0.6,7.5,1.2,0.3,3.2,83,60360.0,28.0
2130,13593,23.8,0.7,14.3,7.1,0.2,4.3,66,59092.0,32.0
2150,13872,28.3,1.0,13.4,19.9,0.8,7.9,52,66935.0,35.0
2164,1668,29.2,1.0,62.5,0.3,0.3,3.3,23,47612.0,63.0
2170,91946,28.4,1.1,5.8,1.4,0.3,3.9,82,68999.0,26.0
2180,9856,34.1,0.5,74.6,1.1,0.1,1.6,17,44766.0,72.0
2185,9503,24.2,1.1,53.4,4.8,1.2,3.0,33,73744.0,34.0
2188,7733,35.1,0.6,80.1,0.6,0.2,1.1,12,54680.0,71.0
2201,5737,25.2,0.5,39.6,0.5,0.4,2.8,49,42649.0,51.0
2220,8952,23.0,0.8,17.1,6.0,0.4,5.0,64,61956.0,29.0
2232,3047,18.4,0.4,29.1,0.6,0.1,3.5,60,45858.0,32.0
2240,7132,26.2,1.3,11.5,1.0,0.4,3.7,78,55617.0,32.0
2261,9770,24.3,0.8,13.4,4.1,0.6,3.9,71,63887.0,25.0
2270,7662,40.9,0.2,93.3,0.3,0.0,0.2,4,33206.0,64.0
2280,6220,22.4,0.6,16.2,2.3,0.2,3.1,69,50244.0,44.0
2282,646,23.5,0.3,35.6,5.0,2.0,2.8,39,47575.0,71.0
2290,5656,27.7,0.4,70.2,0.3,0.1,1.4,22,33578.0,27.0
4001,72401,31.5,0.9,71.6,0.4,0.1,6.8,20,30837.0,25.0
4003,133289,22.7,4.1,1.7,2.1,0.4,32.6,58,41237.0,43.0
4005,134511,23.1,1.3,27.4,1.6,0.2,13.9,55,45051.0,29.0
4007,53144,21.4,0.6,15.4,0.6,0.1,18.4,65,35898.0,42.0
4009,37147,28.0,1.9,14.7,0.6,0.2,30.8,52,40548.0,30.0
4011,8606,28.8,1.2,3.5,0.7,0.1,47.3,48,51145.0,24.0
4012,20419,18.2,0.7,17.0,0.7,0.1,24.5,61,30679.0,59.0
4013,3880244,26.0,4.7,2.7,3.7,0.3,30.0,58,50785.0,33.0
4015,202351,20.2,1.0,2.7,1.2,0.2,15.2,79,35998.0,50.0
4017,107398,29.2,1.1,43.4,0.6,0.1,11.1,43,32425.0,39.0
4019,989569,22.7,3.2,4.2,2.8,0.2,35.1,55,44102.0,40.0
4021,382992,26.1,4.3,6.6,1.9,0.5,28.7,59,45170.0,41.0
4023,47676,30.0,0.3,1.3,0.7,0.1,82.7,16,35500.0,66.0
4025,211888,18.5,0.7,2.0,0.9,0.1,13.9,82,41437.0,35.0
4027,200870,27.6,1.8,2.2,1.5,0.2,60.1,35,37894.0,34.0
5001,18892,23.4,24.4,0.3,0.5,0.0,3.0,71,37922.0,54.0
5003,21692,24.3,25.9,0.6,0.3,0.1,5.0,68,37170.0,77.0
5005,41536,17.9,0.3,0.6,0.5,0.0,1.8,96,33312.0,47.0
5007,227556,27.6,1.7,1.8,3.1,0.4,15.7,76,52644.0,37.0
5009,37051,22.7,0.5,0.8,0.5,0.1,2.0,95,38411.0,43.0
5011,11482,23.6,27.1,1.7,0.3,0.0,13.9,58,31118.0,64.0
5013,5144,19.5,22.2,0.4,0.2,0.0,3.1,73,35464.0,50.0
5015,27512,22.3,0.4,1.1,0.7,0.3,13.3,83,33579.0,53.0
5017,11721,22.9,53.0,0.3,0.5,0.0,5.0,41,27966.0,98.0
5019,22858,19.1,23.5,0.7,0.6,0.0,4.3,70,34478.0,49.0
5021,15880,21.8,0.6,0.3,0.2,0.0,1.5,96,32564.0,49.0
5023,25901,19.9,0.5,0.6,0.2,0.0,2.2,95,42265.0,42.0
5025,8672,24.5,12.0,0.4,0.2,0.0,1.8,85,41864.0,38.0
5027,24401,22.6,36.1,0.4,0.8,0.0,2.4,60,33533.0,56.0
5029,21270,23.7,11.0,0.9,0.5,0.0,3.7,82,37830.0,52.0
5031,98315,24.9,13.3,0.5,1.2,0.0,4.6,79,39410.0,46.0
5033,61944,25.8,1.4,2.3,1.5,0.1,6.3,86,37552.0,50.0
5035,50525,28.5,50.5,0.4,0.7,0.0,2.1,45,34905.0,79.0
5037,17781,24.6,22.5,0.4,0.5,0.0,1.5,74,35268.0,58.0
5039,8072,23.3,41.8,0.6,0.2,0.0,2.6,54,30728.0,55.0
5041,12763,25.9,46.9,0.5,0.4,0.1,4.7,47,30186.0,70.0
5043,18467,23.4,28.0,0.4,0.6,0.0,2.7,67,35627.0,54.0
5045,116342,24.1,10.5,0.7,1.2,0.1,4.0,82,49314.0,35.0
5047,18047,24.1,1.0,1.2,1.0,0.1,2.2,93,38245.0,44.0
5049,12296,20.8,0.5,0.7,0.3,0.0,0.9,96,33696.0,51.0
5051,97124,20.8,8.1,0.7,0.8,0.1,5.0,84,35651.0,49.0
5053,17988,24.0,2.5,0.5,0.3,0.0,2.3,93,46538.0,35.0
5055,42720,25.1,0.8,0.6,0.3,0.0,2.4,95,37893.0,46.0
5057,22541,26.1,29.1,0.7,0.5,0.2,12.1,56,30922.0,69.0
5059,32881,23.1,10.9,0.6,0.3,0.1,2.9,84,38082.0,48.0
5061,13886,26.5,20.2,1.0,0.7,0.1,10.2,67,33079.0,59.0
5063,36861,24.0,2.2,0.7,0.9,0.2,5.9,89,34690.0,47.0
5065,13419,18.8,1.6,0.9,0.3,0.0,1.8,94,31245.0,46.0
5067,17866,20.7,16.9,0.6,0.3,0.1,2.7,78,32750.0,59.0
5069,76246,23.6,54.5,0.4,0.9,0.0,1.7,41,37704.0,61.0
5071,25742,24.8,1.5,1.2,0.8,0.1,12.8,83,34182.0,60.0
5073,7516,22.7,36.6,0.4,0.4,0.0,1.9,60,30057.0,73.0
5075,17178,22.6,0.9,0.4,0.2,0.0,1.0,96,32678.0,54.0
5077,10326,20.3,54.1,0.6,0.4,0.0,1.9,42,27894.0,85.0
5079,14006,19.0,29.8,0.4,0.3,0.0,3.4,65,35854.0,51.0
5081,12996,23.6,19.1,1.8,0.3,0.0,3.1,74,38937.0,51.0
5083,22290,24.3,1.4,1.2,1.8,0.0,2.4,92,34000.0,50.0
5085,69341,27.1,6.3,0.7,0.9,0.1,3.5,87,49579.0,32.0
5087,15776,23.8,0.4,1.4,0.5,0.1,5.0,92,34292.0,51.0
5089,16573,17.6,0.4,0.8,0.3,0.0,1.9,95,32685.0,54.0
5091,43759,24.2,23.8,0.8,0.5,0.1,3.0,70,37728.0,55.0
5093,45966,27.9,33.8,0.4,0.6,0.0,3.7,60,33426.0,73.0
5095,8075,22.5,40.3,0.6,0.6,0.0,2.0,55,27758.0,90.0
5099,9017,23.6,30.4,0.6,0.3,0.0,2.8,65,31590.0,63.0
5101,8264,20.4,0.2,1.3,0.3,0.0,1.8,94,31224.0,59.0
5103,25880,23.2,39.9,0.4,0.4,0.0,1.7,56,35095.0,60.0
5105,10405,22.5,2.1,0.7,0.2,0.0,2.5,93,38858.0,41.0
5107,21442,27.8,62.2,0.4,0.4,0.0,1.5,35,26892.0,88.0
5109,11259,24.5,3.0,0.9,0.7,0.0,6.8,88,30054.0,53.0
5111,24514,24.2,7.4,0.3,0.2,0.0,2.3,89,30761.0,71.0
5113,20610,23.3,0.4,1.7,0.5,0.0,6.2,89,31030.0,64.0
5115,62331,22.9,3.0,1.0,1.1,0.1,7.1,86,38095.0,45.0
5117,8618,21.0,12.1,0.4,0.1,0.0,1.0,85,36088.0,58.0
5119,386299,24.0,34.7,0.6,2.1,0.1,6.0,55,43898.0,55.0
5121,18017,23.0,0.9,0.6,0.2,0.0,1.7,95,33210.0,58.0
5123,27970,23.5,51.5,0.8,0.5,0.0,4.3,42,28467.0,99.0
5125,109526,24.2,5.2,0.6,0.9,0.0,3.9,88,54372.0,30.0
5127,11272,25.2,0.8,2.1,3.6,0.0,7.0,85,31163.0,55.0
5129,8036,20.1,0.2,1.3,0.2,0.0,1.7,95,26990.0,61.0
5131,127127,25.1,6.4,2.2,4.2,0.2,12.6,72,38404.0,52.0
5133,17293,29.4,4.2,3.2,0.4,0.1,31.5,60,30899.0,63.0
5135,17380,21.3,0.8,1.0,0.3,0.0,1.8,95,28760.0,53.0
5137,12603,20.6,0.3,0.8,0.4,0.0,1.5,96,29182.0,48.0
5139,41427,23.8,32.8,0.5,0.6,0.1,3.8,61,37193.0,51.0
5141,17083,19.9,0.6,0.8,0.4,0.0,2.8,94,34513.0,54.0
5143,207521,25.3,3.1,1.4,2.3,2.0,15.8,74,39230.0,46.0
5145,78167,23.9,4.2,0.7,0.6,0.1,4.0,89,42958.0,42.0
5147,7229,22.5,27.1,0.4,0.2,0.1,1.3,69,27357.0,74.0
5149,22060,26.0,1.5,0.9,1.5,0.1,19.2,76,33747.0,63.0
6001,1529875,22.3,12.1,1.2,27.0,1.0,22.8,34,67295.0,35.0
6003,1102,19.2,0.1,21.8,0.7,0.0,7.7,71,46706.0,45.0
6005,37953,16.4,2.6,2.1,1.3,0.2,12.9,79,51553.0,32.0
6007,220266,20.5,1.5,2.3,4.4,0.3,14.7,74,39208.0,47.0
6009,45052,19.1,0.9,1.8,1.4,0.2,10.8,83,50599.0,36.0
6011,21549,29.7,0.8,2.7,1.6,0.5,56.1,39,47469.0,59.0
6013,1066096,24.4,8.9,1.0,15.2,0.6,24.8,47,74241.0,30.0
6015,28659,21.2,3.9,8.6,3.5,0.2,18.4,64,35598.0,54.0
6017,180938,22.2,0.8,1.4,3.7,0.2,12.3,80,61970.0,22.0
6019,942904,29.5,4.8,3.0,10.3,0.3,50.9,32,42572.0,60.0
6021,28128,27.7,0.8,3.1,2.9,0.2,38.4,55,40221.0,55.0
6023,134761,19.6,1.1,6.0,2.5,0.3,10.2,77,39526.0,40.0
6025,177057,28.8,3.0,2.6,2.4,0.2,80.6,14,36898.0,63.0
6027,18478,21.1,0.7,12.4,1.3,0.1,20.1,66,44928.0,40.0
6029,851710,29.9,5.4,2.7,4.7,0.3,50.0,38,44903.0,59.0
6031,153765,27.6,6.8,2.9,4.2,0.3,51.4,35,48319.0,57.0
6033,64323,20.7,1.8,4.0,1.3,0.2,17.7,74,35882.0,58.0
6035,34200,17.5,8.8,4.2,1.3,0.5,18.0,66,47938.0,29.0
6037,9889056,24.1,8.3,1.5,14.2,0.4,48.1,28,52239.0,51.0
6039,152925,28.2,3.5,4.5,2.2,0.2,54.5,38,44795.0,63.0
6041,255031,20.5,2.7,1.2,5.8,0.3,15.7,73,78470.0,20.0
6043,18191,17.6,0.8,3.2,1.3,0.2,9.9,82,42175.0,40.0
6045,87553,22.1,0.7,6.1,1.9,0.2,22.9,68,41236.0,56.0
6047,259898,31.2,3.4,2.4,7.9,0.4,55.7,31,40016.0,65.0
6049,9517,21.6,1.0,5.2,1.1,0.2,14.3,78,34654.0,51.0
6051,14309,21.2,0.5,2.6,1.7,0.1,27.0,67,48758.0,41.0
6053,421898,26.8,2.8,2.7,6.9,0.6,56.1,32,52746.0,58.0
6055,138088,22.9,1.9,1.3,7.2,0.4,32.9,56,61179.0,35.0
6057,98612,18.8,0.4,1.2,1.3,0.1,8.9,86,53833.0,25.0
6059,3055745,24.1,1.6,1.1,18.4,0.4,34.1,44,72046.0,38.0
6061,357138,24.0,1.4,1.1,6.3,0.3,13.3,75,69581.0,20.0
6063,19765,17.7,1.0,3.1,0.9,0.1,8.5,85,44923.0,29.0
6065,2239620,27.8,6.0,1.9,6.5,0.4,46.1,39,52491.0,46.0
6067,1436105,25.2,9.9,1.6,15.0,1.1,22.0,48,52236.0,44.0
6069,56072,28.4,0.7,3.1,3.2,0.3,56.9,38,62618.0,46.0
6071,2065377,28.7,8.4,2.0,6.9,0.5,49.9,33,51017.0,56.0
6073,3140069,23.1,4.8,1.4,11.4,0.6,32.5,48,59290.0,40.0
6075,812826,13.5,5.7,0.9,33.9,0.5,15.4,42,69354.0,49.0
6077,696214,28.9,7.1,2.0,15.5,0.7,39.4,35,50376.0,51.0
6079,271969,18.4,2.1,1.4,3.7,0.2,21.3,70,53877.0,34.0
6081,727209,22.1,2.7,0.9,25.8,1.6,25.6,42,81378.0,29.0
6083,426878,22.7,1.8,2.2,5.5,0.3,43.4,47,59494.0,45.0
6085,1809378,23.9,2.4,1.4,32.9,0.5,27.2,35,84741.0,31.0
6087,264298,20.8,1.0,1.7,4.8,0.2,32.7,59,61228.0,43.0
6089,177774,22.0,0.9,3.0,2.7,0.2,8.8,82,41796.0,42.0
6091,3113,16.4,0.4,1.6,0.4,0.1,8.9,87,45060.0,33.0
6093,44507,20.5,1.3,4.4,1.3,0.3,10.7,79,35175.0,52.0
6095,416471,24.0,14.2,1.2,15.2,1.0,24.6,41,63090.0,37.0
6097,488116,21.7,1.4,2.2,4.1,0.4,25.4,66,60792.0,35.0
6099,518522,28.3,2.6,1.9,5.7,0.8,42.6,46,44287.0,54.0
6101,94919,27.1,1.9,2.3,15.5,0.4,29.4,50,48749.0,45.0
6103,63601,24.9,0.7,3.3,1.2,0.2,22.6,71,37297.0,61.0
6105,13723,18.0,0.4,5.2,0.8,0.1,7.4,83,33163.0,48.0
6107,449253,32.3,1.3,2.8,3.9,0.2,61.3,32,40599.0,66.0
6109,54953,17.1,2.2,2.2,1.2,0.2,11.3,81,43530.0,37.0
6111,831771,25.3,1.7,1.8,7.2,0.3,40.9,48,74019.0,37.0
6113,202054,21.9,2.5,1.9,14.1,0.6,30.5,49,50174.0,43.0
6115,72578,28.8,3.1,3.1,7.2,0.5,25.9,58,43299.0,58.0
8001,451443,28.4,2.8,2.1,3.8,0.2,38.2,53,52429.0,42.0
8003,15710,24.2,1.0,5.4,1.5,0.2,46.5,49,36870.0,56.0
8005,584948,25.3,9.7,1.1,5.2,0.2,18.7,63,57042.0,32.0
8007,12013,19.4,0.4,2.9,0.9,0.1,18.3,78,48043.0,40.0
8009,3795,21.2,0.5,1.5,0.2,0.0,9.2,88,34168.0,40.0
