FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
1001,55267,26.0,12.3,18.3,0.5,0.9,0.1,2.6,76,271,0.5,51.2,42.0,12,10,15,76,185,729,439.5,407.5,471.6,35,59.2,41.2,82.4,27,807.4,532.1,1174.8,2,0,27318:1,9489,5771,17,15,20,811,5,4,7,386,18,48863,43492,54234,5361,19998,27,36,4,2,6,21262,24349,87,20,:null,
1003,186717,22.8,17.1,9.6,0.7,0.8,0.1,4.5,83,2788,1.7,51.2,42.3,11,10,13,269,179,2325,365.0,349.7,380.2,97,58.7,47.6,71.6,66,589.1,455.6,749.5,32,0,5726:1,9618,25021,23,21,25,3950,9,7,11,1529,16,50144,45867,54421,21260,70757,30,37,4,3,6,65382,78770,83,5,:null,
1005,27119,21.8,14.6,46.4,0.6,0.4,0.2,5.3,47,400,1.5,46.5,67.8,14,11,17,86,345,422,459.3,414.8,503.7,26,105.3,68.8,154.2,27,1539.3,1014.4,2239.7,1,0,27390:1,9762,3424,24,21,26,398,6,4,8,379,17,30117,26980,33254,3107,9589,32,66,5,3,9,7404,9447,78,4,:null,
1007,22766,22.1,13.3,22.2,0.3,0.1,0.1,2.0,75,172,0.8,46.1,68.4,12,9,15,18,100,390,541.8,487.6,596.0,22,103.9,65.1,157.3,17,1192.1,694.5,1908.7,null,null,,11270,2870,22,20,25,325,6,4,8,330,18,37347,33090,41604,1589,7225,22,54,8,4,13,7428,8930,83,null,:null,
1009,57677,24.4,15.0,1.7,0.6,0.2,0.1,8.6,88,1589,3.0,50.6,90.0,13,10,16,39,81,826,426.2,396.7,455.7,36,63.9,44.7,88.4,23,605.7,384.0,908.9,1,0,57387:1,10238,8295,24,22,26,1191,8,6,10,343,15,41940,37672,46208,4990,20954,24,44,4,2,7,18857,23566,80,1,:null,
1011,10542,21.9,13.6,68.3,0.9,0.2,0.8,7.7,23,321,3.1,45.7,51.4,16,12,20,32,358,192,514.8,441.3,588.3,null,null,null,null,10,1191.9,571.6,2191.9,null,null,,9568,1167,21,18,24,131,5,3,7,null,null,26038,22823,29253,1114,3760,30,90,null,null,null,3096,3910,79,1,:null,
1013,20650,23.6,17.1,43.2,0.4,0.9,0.1,1.1,54,27,0.1,53.1,71.2,17,14,20,34,207,389,553.0,496.5,609.5,13,64.0,34.1,109.4,14,1020.4,557.9,1712.1,1,0,20941:1,10613,2717,22,19,25,291,6,4,7,346,17,30489,27486,33492,2633,8090,33,68,10,5,16,6900,7833,88,10,:null,
1015,117797,22.8,14.6,20.6,0.5,0.8,0.1,3.4,73,1144,1.0,51.9,33.7,14,12,16,166,176,2042,532.3,508.8,555.8,88,81.3,65.2,100.2,65,908.1,700.8,1157.4,11,0,10766:1,11552,14592,20,18,22,1520,5,4,7,1344,18,39060,36210,41910,13579,45923,30,51,11,9,14,39740,46580,85,17,:null,
1017,33939,22.3,17.0,38.5,0.2,0.6,0.0,1.7,58,100,0.3,52.2,49.1,16,13,19,81,282,643,531.1,489.0,573.2,20,62.8,38.4,97.0,15,761.0,425.9,1255.2,1,0,34143:1,9133,4901,24,21,26,472,6,4,8,353,21,33500,30018,36982,4232,13562,31,65,8,5,13,10925,13218,83,2,:null,
1019,26057,21.1,18.4,4.9,0.6,0.2,0.0,1.4,92,44,0.2,50.4,85.7,13,10,17,21,100,470,466.5,422.3,510.8,16,72.7,41.5,118.0,10,746.3,357.9,1372.4,null,null,,10813,3615,23,20,26,404,7,5,9,198,15,34738,30985,38491,3151,11508,27,51,null,null,null,8222,10057,82,3,:null,
1021,43895,24.8,14.1,9.9,0.5,0.3,0.2,7.8,81,909,2.2,50.7,86.7,12,9,15,29,81,741,521.7,483.8,559.7,43,98.5,71.3,132.7,33,1039.4,715.5,1459.7,1,0,43722:1,10633,6775,25,23,28,788,7,5,9,325,14,38833,35223,42443,4463,16277,27,52,5,3,8,14214,17772,80,1,:null,
1023,13609,22.1,19.0,43.2,0.1,0.2,0.0,0.6,55,10,0.1,52.3,100.0,17,14,20,28,242,253,515.6,448.9,582.3,null,null,null,null,null,null,null,null,null,null,,10079,1802,22,19,25,238,7,5,9,479,24,32940,29072,36808,1182,5165,23,68,null,null,null,3372,4257,79,5,:null,
1025,25695,24.2,16.6,43.8,0.4,0.4,0.0,1.2,54,0,0.0,52.9,76.0,15,12,18,23,107,403,452.2,407.1,497.3,13,48.8,26.0,83.5,17,1093.2,636.9,1750.4,1,0,25776:1,10074,3167,21,18,24,446,7,5,9,381,18,32642,28759,36525,2505,9114,27,60,8,5,13,7387,8391,88,1,:null,
1027,13862,22.3,18.6,15.0,0.4,0.2,0.0,2.9,80,166,1.3,51.1,100.0,15,12,19,15,130,254,500.7,437.5,563.9,10,77.8,37.3,143.1,null,null,null,null,1,0,13935:1,10800,1904,23,20,26,250,8,5,10,185,22,32454,28745,36163,1325,5837,23,52,null,null,null,4237,5347,79,4,:null,
1029,14835,23.4,16.2,3.9,0.4,0.2,0.1,2.4,92,126,0.9,50.4,100.0,12,10,16,13,104,279,531.6,467.6,595.5,null,null,null,null,null,null,null,null,null,null,,10152,1978,22,19,25,250,7,5,9,147,19,39153,34638,43668,1367,5521,25,49,12,6,20,4524,5816,78,1,:null,
